Formula,Name,Electron Pair Geometry,Central Atom,Terminal Atom 1,Bond 1,Terminal Atom 2,Bond 2,Terminal Atom 3,Bond 3,Terminal Atom 4,Bond 4,Terminal Atom 5,Bond 5,Terminal Atom 6,Bond 6,Molecular Geometry
NH_3,Ammonia,Tetrahedral,N,electron pair,x,H,single,H,single,H,single,none,none,none,none,Trigonal pyramidal
NF_3,Nitrogen trifluoride,Tetrahedral,N,electron pair,x,F,single,F,single,F,single,none,none,none,none,Trigonal pyramidal
CCl_4,Carbon tetrachloride,Tetrahedral,C,Cl,single,Cl,single,Cl,single,Cl,single,none,none,none,none,Tetrahedral
CO_2,Carbon Dioxide,Linear,C,O,double,O,double,none,none,none,none,none,none,none,none,Linear
H_2O,Water,Tetrahedral,O,electron pair,x,electron pair,x,H,single,H,single,none,none,none,none,Bent
BF_3,Boron trifluoride,Trigonal planar,B,F,single,F,single,F,double,none,none,none,none,none,none,Trigonal Planar
BCl_3,Boron Trichloride,Trigonal Planar,B,Cl,Single,Cl,Single,Cl,Single,none,none,none,none,none,none,Trigonal Planar
CClF_3,Chlorotrifluoromethane,Tetrahedral,C,Cl,Single,F,Single,F,Single,F,Single,none,none,none,none,Tetrahedral
SiCl_4,Silicon Tetrachloride,Tetrahedral,Si,Cl,Single,Cl,Single,Cl,Single,Cl,Single,none,none,none,none,Tetrahedral
CH_4,Methane,Tetrahedral,C,H,Single,H,Single,H,Single,H,Single,none,none,none,none,Tetrahedral
HNO_3,Nitric Acid,Trigonal Planar,N,O,Double,O,Single,OH,Single,none,none,none,none,none,none,Trigonal Planar
CH_3Cl,Chloromethane,Tetrahedral,C,H,Single,H,Single,H,Single,Cl,Single,none,none,none,none,Tetrahedral
H_2S,Hydrogen Sulfide,Tetrahedral,S,H,Single,H,Single,Electron Pair,x,Electron Pair,x,none,none,none,none,Bent
PF_3,Phosphorus Trifluoride,Tetrahedral,P,F,Single,F,Single,F,Single,Electron Pair,x,none,none,none,none,Trigonal pyramidal
CF_4,Carbon Tetrafluoride,Tetrahedral,C,F,Single,F,Single,F,Single,F,Single,none,none,none,none,Tetrahedral
H_2SO_4,Sulfuric Acid,Tetrahedral,S,O,Double,O,Double,OH,Single,OH,Single,none,none,none,none,Tetrahedral
CH_2Cl_2,Dichloromethane,Tetrahedral,C,H,Single,H,Single,Cl,Single,Cl,Single,none,none,none,none,Tetrahedral
CH_3OH,Methanol,Tetrahedral,C,H,Single,H,Single,H,Single,OH,Single,none,none,none,none,Tetrahedral
HCN,Hydrogen Cyanide,Linear,C,N,Triple,H,Single,none,none,none,none,none,none,none,none,Linear
CHCl_3,Chloroform,Tetrahedral,C,Cl,Single,Cl,Single,Cl,Single,H,Single,none,none,none,none,Tetrahedral
NH_4^+,Ammonium,Tetrahedral,N,H,Single,H,Single,H,Single,H,Single,none,none,none,none,Tetrahedral
CFCl_3,Trichlorofluoromethane,Tetrahedral,C,Cl,Single,Cl,Single,Cl,Single,F,Single,none,none,none,none,Tetrahedral
H_3O^+,Hydronium,Tetrahedral,O,H,Single,H,Single,H,Single,Electron Pair,x,none,none,none,none,Trigonal pyramidal
BeCl_2,Beryllium Chloride,Linear,Be,Cl,Single,Cl,Single,none,none,none,none,none,none,none,none,Linear
ClO_4^-,Perchlorate,Tetrahedral,Cl,O,Single,O,Single,O,Single,O,Single,none,none,none,none,Tetrahedral
NO_3^-,Nitrate,Trigonal Planar,N,O,Double,O,Single,O,Single,none,none,none,none,none,none,Trigonal Planar
BrF_3,Bromine Trifluoride,Trigonal Bipyramidal,Br,F,Single,F,Single,F,Single,Electron Pair,x,Electron Pair,x,none,none,T-shaped
ICl_4^-,Tetrachloroiodide,Octahedral,I,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Electron Pair,x,Electron Pair,x,Square planar
XeF_2,Xenon Difluoride,Trigonal Bipyramidal,Xe,F,Single,F,Single,Electron Pair,x,Electron Pair,x,Electron Pair,x,none,none,Linear
BrF_5,Bromine Pentafluoride,Octahedral,Br,F,Single,F,Single,F,Single,F,Single,F,Single,Electron Pair,x,Square pyramidal
SCl_6,Sulfur Hexafluoride,Octahedral,S,F,Single,F,Single,F,Single,F,Single,F,Single,F,Single,Octahedral
SCl_6,Sulfur Hexachloride,Trigonal Bipyramidal,S,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Octahedral
SCl_4,Sulfur tetrachloride,Trigonal Bipyramidal,S,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Electron Pair,x,none,none,See-Saw
XeCl_4,Xenon tetrafluoride,Octahedral,Xe,F,Single,F,Single,F,Single,F,Single,Electron Pair,x,Electron Pair,x,Square planar
XeCl_4,Xenon tetrachloride,Octahedral,Xe,Cl,Single,Cl,Single,Cl,Single,Cl,Single,Electron Pair,x,Electron Pair,x,Square planar